subBranch,Date,category,mergeSum,finalMerge
workstream_infrastructure,Sep 4, 2015,t,0,0
workstream_modeling,Sep 4, 2015,t,0,0
workstream_apdkpi,Sep 5, 2015,t,0,0
workstream_infrastructure,Sep 6, 2015,t,0,0
workstream_modeling,Sep 6, 2015,t,0,0
workstream_dmem,Sep 7, 2015,t,13,0
workstream_infrastructure,Sep 7, 2015,t,0,0
vertical/allocation,Sep 8, 2015,t,30,24
workstream_infrastructure,Sep 8, 2015,t,0,0
workstream_modeling,Sep 8, 2015,t,0,0
vertical/allocation,Sep 9, 2015,t,26,0
workstream_apdkpi,Sep 9, 2015,t,46,6
workstream_dmem,Sep 9, 2015,t,0,0
workstream_infrastructure,Sep 9, 2015,t,0,0
workstream_modeling,Sep 9, 2015,t,0,0
vertical/allocation,Sep 10, 2015,t,0,0
workstream_dmem,Sep 10, 2015,t,0,0
workstream_infrastructure,Sep 10, 2015,t,0,0
workstream_modeling,Sep 10, 2015,t,0,0
vertical/allocation,Sep 11, 2015,t,54,0
workstream_apdkpi,Sep 11, 2015,t,2,0
workstream_dmem,Sep 11, 2015,t,0,0
workstream_infrastructure,Sep 11, 2015,t,0,0
workstream_lumira,Sep 11, 2015,t,151,137
workstream_modeling,Sep 11, 2015,t,0,0
workstream_apdkpi,Sep 12, 2015,t,11,0
workstream_lumira,Sep 12, 2015,t,275,275
workstream_infrastructure,Sep 13, 2015,t,0,0
workstream_modeling,Sep 13, 2015,t,2,0
vertical/allocation,Sep 14, 2015,t,7,7
workstream_apdkpi,Sep 14, 2015,t,0,0
workstream_dmem,Sep 14, 2015,t,0,0
workstream_infrastructure,Sep 14, 2015,t,0,0
workstream_lumira,Sep 14, 2015,t,0,0
workstream_lumira_11,Sep 15, 2015,t,0,0
workstream_lumira_11,Sep 16, 2015,t,0,0
workstream_infrastructure,Sep 17, 2015,t,0,0
workstream_lumira_11,Sep 17, 2015,t,10,10
workstream_dmem,Sep 18, 2015,t,3,3
workstream_infrastructure,Sep 18, 2015,t,0,0
workstream_modeling,Sep 18, 2015,t,2,2
workstream_infrastructure,Sep 19, 2015,t,0,0
workstream_infrastructure,Sep 20, 2015,t,0,0
workstream_modeling,Sep 20, 2015,t,0,0
workstream_apdkpi,Sep 21, 2015,t,26,4
workstream_infrastructure,Sep 21, 2015,t,0,0
workstream_lumira,Sep 21, 2015,t,40,0
workstream_modeling,Sep 21, 2015,t,0,0
vertical/allocation,Sep 22, 2015,t,117,6
workstream_apdkpi,Sep 22, 2015,t,12,0
workstream_infrastructure,Sep 22, 2015,t,0,0
workstream_modeling,Sep 22, 2015,t,0,0
vertical/allocation,Sep 23, 2015,t,18,9
workstream_apdkpi,Sep 23, 2015,t,23,0
workstream_dmem,Sep 23, 2015,t,0,0
workstream_infrastructure,Sep 23, 2015,t,0,0
workstream_lumira,Sep 23, 2015,t,36,0
workstream_modeling,Sep 23, 2015,t,0,0
vertical/allocation,Sep 24, 2015,t,0,0
workstream_apdkpi,Sep 24, 2015,t,0,0
workstream_infrastructure,Sep 24, 2015,t,0,0
workstream_lumira,Sep 24, 2015,t,0,0
workstream_modeling,Sep 24, 2015,t,5,0
vertical/allocation,Sep 25, 2015,t,0,0
workstream_infrastructure,Sep 25, 2015,t,0,0
workstream_lumira,Sep 25, 2015,t,9,2
workstream_modeling,Sep 25, 2015,t,0,0
workstream_apdkpi,Sep 28, 2015,t,0,0
workstream_dmem,Sep 28, 2015,t,0,0
workstream_infrastructure,Sep 28, 2015,t,5,0
workstream_lumira,Sep 28, 2015,t,0,0
workstream_modeling,Sep 28, 2015,t,0,0
vertical/allocation,Sep 29, 2015,t,7,4
workstream_apdkpi,Sep 29, 2015,t,0,0
workstream_dmem,Sep 29, 2015,t,0,0
workstream_lumira,Sep 29, 2015,t,0,0
workstream_modeling,Sep 29, 2015,t,0,0
vertical/allocation,Sep 30, 2015,t,0,0
vertical/boardroom,Sep 30, 2015,t,1,007,0
workstream_lumira,Sep 30, 2015,t,0,0
workstream_apdkpi,Oct 1, 2015,t,4,0
workstream_lumira,Oct 1, 2015,t,42,0
workstream_lumira,Oct 2, 2015,t,0,0
vertical/allocation,Oct 4, 2015,t,6,6
workstream_apdkpi,Oct 5, 2015,t,0,0
workstream_lumira,Oct 5, 2015,t,0,0
workstream_modeling,Oct 5, 2015,t,0,0
vertical/allocation,Oct 6, 2015,t,13,0
workstream_apdkpi,Oct 6, 2015,t,4,0
workstream_lumira,Oct 6, 2015,t,0,0
vertical/allocation,Oct 7, 2015,t,0,0
workstream_infrastructure,Oct 7, 2015,t,19,0
vertical/allocation,Oct 8, 2015,t,3,3
workstream_apdkpi,Oct 8, 2015,t,0,0
workstream_lumira,Oct 8, 2015,t,0,0
workstream_modeling,Oct 8, 2015,t,0,0
workstream_lumira,Oct 9, 2015,t,12,0
workstream_modeling,Oct 9, 2015,t,0,0
workstream_dmem,Oct 11, 2015,t,31,0
vertical/allocation,Oct 12, 2015,t,0,0
workstream_apdkpi,Oct 12, 2015,t,29,4
workstream_infrastructure,Oct 12, 2015,t,146,143
workstream_modeling,Oct 12, 2015,t,0,0
vertical/allocation,Oct 13, 2015,t,0,0
workstream_apdkpi,Oct 13, 2015,t,0,0
workstream_dmem,Oct 13, 2015,t,0,0
workstream_infrastructure,Oct 13, 2015,t,0,0
workstream_lumira,Oct 13, 2015,t,0,0
workstream_modeling,Oct 13, 2015,t,0,0
vertical/allocation,Oct 14, 2015,t,0,0
workstream_apdkpi,Oct 14, 2015,t,0,0
workstream_infrastructure,Oct 14, 2015,t,0,0
workstream_lumira,Oct 14, 2015,t,0,0
vertical/allocation,Oct 15, 2015,t,0,0
workstream_apdkpi,Oct 15, 2015,t,0,0
workstream_modeling,Oct 15, 2015,t,0,0
workstream_apdkpi,Oct 16, 2015,t,0,0
workstream_dmem,Oct 16, 2015,t,9,9
workstream_modeling,Oct 16, 2015,t,0,0
workstream_dmem,Oct 18, 2015,t,3,3
workstream_infrastructure,Oct 18, 2015,t,0,0
vertical/allocation,Oct 19, 2015,t,0,0
workstream_apdkpi,Oct 19, 2015,t,0,0
workstream_infrastructure,Oct 19, 2015,t,50,50
workstream_modeling,Oct 19, 2015,t,0,0
workstream_apdkpi,Oct 20, 2015,t,0,0
workstream_modeling,Oct 20, 2015,t,0,0
vertical/allocation,Oct 21, 2015,t,22,0
vertical/devinfra,Oct 21, 2015,t,1,494,437
workstream_apdkpi,Oct 21, 2015,t,0,0
workstream_dmem,Oct 21, 2015,t,0,0
workstream_lumira,Oct 21, 2015,t,467,0
workstream_modeling,Oct 21, 2015,t,0,0
workstream_apdkpi,Oct 22, 2015,t,58,0
workstream_infrastructure,Oct 22, 2015,t,892,0
vertical/allocation,Oct 23, 2015,t,901,28
workstream_infrastructure,Oct 23, 2015,t,14,9
workstream_modeling,Oct 23, 2015,t,0,0
workstream_dmem,Oct 24, 2015,t,192,190
workstream_infrastructure,Oct 24, 2015,t,0,0
workstream_lumira,Oct 24, 2015,t,4,0
workstream_modeling,Oct 24, 2015,t,18,18
vertical/allocation,Oct 25, 2015,t,0,0
workstream_infrastructure,Oct 25, 2015,t,3,0
vertical/allocation,Oct 26, 2015,t,0,0
vertical/boardroom,Oct 26, 2015,t,55,731,0
workstream_apdkpi,Oct 26, 2015,t,23,10
workstream_dmem,Oct 26, 2015,t,83,83
workstream_infrastructure,Oct 26, 2015,t,0,0
workstream_lumira,Oct 26, 2015,t,134,0
workstream_modeling,Oct 26, 2015,t,0,0
vertical/boardroom,Oct 27, 2015,t,0,0
workstream_apdkpi,Oct 27, 2015,t,0,0
workstream_dmem,Oct 27, 2015,t,0,0
workstream_infrastructure,Oct 27, 2015,t,4,4
workstream_lumira,Oct 27, 2015,t,0,0
workstream_modeling,Oct 27, 2015,t,0,0
vertical/allocation,Oct 28, 2015,t,0,0
vertical/licensing,Oct 28, 2015,t,241,24
workstream_apdkpi,Oct 28, 2015,t,0,0
workstream_dmem,Oct 28, 2015,t,0,0
workstream_infrastructure,Oct 28, 2015,t,0,0
workstream_modeling,Oct 28, 2015,t,0,0
vertical/allocation,<Null>,t,924,711,3,764
vertical/boardroom,<Null>,t,131,0
vertical/licensing,<Null>,t,89,57
workstream_apdkpi,<Null>,t,2,043,369
