subBranch;commitId;category;days;mergeSize;date;rate
poc/rptfcst;1017807;t;1;183;Jul 6, 2015;183
workstream_collaboration;1171831;t;1;183;Sep 9, 2015;183
workstream_qa;751524;b;1;183;Dec 28, 2014;183
poc/boardroom_redefined;994169;t;2;183;Jun 22, 2015;91.5
integration;496610;b;1;183;May 23, 2014;183
poc/wrangling;1117980;t;2;182;Aug 11, 2015;91
integration;495653;b;1;182;May 22, 2014;182
integration;499241;b;1;181;May 27, 2014;181
vertical/allocation;1101349;t;1;181;Jul 31, 2015;181
poc/boardroom_redefined;1025189;t;1;181;Jul 9, 2015;181
vertical/boardroom;1215410;t;1;180;Oct 1, 2015;180
vertical/boardroom;1193146;t;1;180;Sep 21, 2015;180
poc/boardroom_redefined;1013876;t;1;180;Jul 3, 2015;180
poc/rptfcst;1019538;t;2;180;Jul 7, 2015;90
workstream_collaboration;918660;b;2;180;Apr 29, 2015;90
vertical/allocation;1260520;t;2;179;Oct 27, 2015;89.5
collaboration;711103;b;1;179;Nov 25, 2014;179
integration;492623;b;1;179;May 21, 2014;179
vertical/allocation;1007950;t;1;177;Jun 30, 2015;177
collaboration;562586;b;1;177;Jul 23, 2014;177
workstream_ux;824261;b;2;177;Feb 24, 2015;88.5
poc/google-drive;1003864;t;1;177;Jun 26, 2015;177
workstream_lumira_11;1204938;t;1;177;Sep 26, 2015;177
workstream_collaboration;1174903;t;1;177;Sep 10, 2015;177
vertical/allocation;1006066;t;1;177;Jun 29, 2015;177
vertical/allocation;1028815;t;1;176;Jul 13, 2015;176
poc/event_proc;1030987;t;1;176;Jul 14, 2015;176
vertical/allocation;915067;b;4;176;Apr 27, 2015;44
workstream_collaboration;1221978;t;7;175;Oct 6, 2015;25
workstream_apd;714165;b;1;175;Nov 26, 2014;175
vertical/allocation;1044744;t;1;174;Jul 20, 2015;174
